,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,2395,2535,3121.5,3471.5,3492.5,3655,3679.5
1,1946.5,1510.5,2334,3269,3511.5,3598.5,3530
2,2510.5,2574.5,2834,3420,3455,3572,3235
3,2700.5,2734,3034.5,3409,3548,3593.5,3617.5
4,2358.5,2797.5,3111,3474,3538,3179,3157.5
5,1860,2353.5,3143.5,3518,3570,3649,3621.5
6,2782.5,2818.5,3181,3465,3102,3632.5,3597.5
7,2170.5,2243.5,2901,3563.5,3439.5,3716,3668
8,2901.5,2959,3146,3477.5,3569.5,3654.5,3665
9,1887.5,2730,3078,3500,3529,3694.5,3466.5
10,2829,3055.5,3180.5,2817.5,2707.5,2762,2703.5
11,3012.5,3034,3280.5,3697,3676,3697,2245.5
12,2966.5,3062.5,3362,3844,3910.5,3984,3988.5
13,3003.5,3151,3288,3015,2077.5,2618,2703.5
14,2288,2771,2128,2863,1930.5,2173,1182.5
15,3145,3200,3400.5,3844,2535.5,3899.5,3795
16,2380.5,3007.5,3515.5,3828,3737,3991,3952.5
17,622,2590.5,3390,3749.5,3852,3890,3811
18,568,340,1934.5,3538.5,3813.5,3996,3964.5
19,235,288.5,838,3340.5,3464.5,3707,3677.5
20,922,2926.5,795,3283,2742.5,3177,1966
21,686.5,497,1325.5,2824,2898.5,2535,2712.5
22,3023.5,1811,1537,1698,956,3181,1990
23,1260,2145.5,2878.5,3431,3352.5,3847,3946
24,2263,2992.5,3563.5,3952.5,4031,4064.5,3856.5
25,2061,1901.5,3433,3947.5,4089.5,4157.5,4157
26,3565,3641.5,1279,3401,3167,2732.5,2812.5
27,2761.5,3479.5,3870.5,4319.5,4394.5,4453.5,4460
28,2847.5,3184,3496.5,3590.5,3749,3813.5,4082
29,3218.5,2359,2331.5,3821,3413,4118,4222
30,2913.5,2226,3550,4024.5,3956,4315.5,4389.5
31,2552,2928,3806,4221,4157.5,3973,3401
32,3574,3490,3591,4442,4344.5,4547.5,4496
33,3678,3700,4143,4462.5,4360,4588.5,4572
34,3772,3808.5,4119,4301,4454.5,4461.5,4545.5
35,3819.5,3623,4172.5,4459.5,4503.5,4601.5,4584
36,2598.5,2460,2292.5,2963,2361.5,2930,3418.5
37,381.5,912,1189,1406,1121,1905.5,2399.5
38,3305,3892,4220,4469,4488,4279,4213.5
39,3658.5,3634,4275.5,4631.5,4658,4745.5,4695
40,2056.5,2606.5,4334.5,4727,4681.5,4849.5,4774
41,2783,2137,495,3750,3308,4812.5,4736
42,3068,3061.5,3383,4657.5,3963.5,4698,4627.5
43,1249.5,2765.5,2615,2887.5,2729.5,3446.5,3743.5
44,4076.5,4035,1925.5,4757.5,4776,3110.5,3128
45,4404.5,4444,1701.5,2014.5,1051,4167.5,3793.5
46,4006.5,4180.5,4716,3285.5,4959,4302,4171
47,3680,4176.5,4469,4942.5,4464,5164,5100.5
48,2819,2505,3087.5,4887,4689,4952.5,5049
49,4445,4066.5,1608.5,3435,4450,3925.5,4925.5
50,1527.5,2604,4419.5,4327.5,3765,3334.5,4324.5
51,2624,3606,3588.5,4816,4514.5,5146.5,5270.5
52,4182.5,4068.5,3974,5154,5083,5203.5,5234.5
53,4570,4674.5,4826,5039,5253,5293,5223
54,4768.5,4836,5047.5,5441,5294.5,5511.5,5471.5
55,4937.5,4668.5,5160.5,5473.5,5317,5551.5,5533.5
56,2558.5,3979,4666,5576,4263,5549.5,5394.5
57,1775.5,4780,2198.5,2987.5,2255,4161.5,5219
58,2731,3676,2688,5452,4808,5558.5,5502
