,index,Path3,Path8,Path14,Path65,Path66
0,0,18047.02359278096,20422.35019454718,15282.617255798988,0.0,0.0
1,24,0.0,13960.936788216446,15770.875563595722,0.0,0.0
2,48,11133.571807190214,15223.688037910786,16159.706988783579,0.0,0.0
3,72,13889.383061446053,8186.543269826213,15288.664653862998,0.0,0.0
4,96,15592.900988592191,8088.769533987816,22067.109962970735,0.0,0.0
5,120,16716.069412284553,7896.723837951995,27048.205713283063,8105.947650399747,0.0
6,144,9723.780273908467,24701.577263448926,10298.200705113595,0.0,0.0
7,168,33876.0178671873,22097.20552069661,14755.805934838783,2340.2156112339153,0.0
8,192,14591.432586274317,21192.510935475206,19098.473962420485,0.0,0.0
9,216,20000.338342212704,17165.111601255834,18771.178884590234,0.0,0.0
10,240,14325.229061036353,13522.456660761418,18155.34615906168,0.0,0.0
11,264,15146.567285943198,14481.105841481092,9813.942764502957,0.0,0.0
12,288,19560.038986744337,14804.919608601373,17985.144872081237,1205.9657870705407,0.0
13,312,23839.143109271165,14725.401391133835,31125.694347024946,0.0,0.0
14,336,22961.5862110966,22954.936276877037,27547.30874036121,7234.528166708122,0.0
15,360,0.0,17066.71081636272,21813.85486636813,10550.163756843833,0.0
16,384,0.0,22583.092911101638,18553.78009969927,0.0,0.0
17,408,0.0,18517.45593092799,19306.8670290477,0.0,0.0
18,432,0.0,17850.999358755453,18778.25274912354,0.0,0.0
19,456,0.0,10607.737764981428,25066.40631848027,0.0,0.0
20,480,11096.536595642501,15649.533427450477,18904.570028561506,0.0,0.0
21,504,1604.05400032572,20516.310508726932,23982.66288528414,2541.4186965751105,0.0
22,528,0.0,13113.705614182836,23287.578654297195,0.0,0.0
23,552,0.0,15847.967445484654,13408.79702996496,0.0,0.0
24,576,8917.438317323733,17567.96172282683,14897.590148458963,0.0,0.0
25,600,35.46855556926448,14699.8832819841,25130.530895571494,0.0,0.0
26,624,9818.382701795395,3982.929272440467,16844.74256974129,2294.031372330479,0.0
27,648,16621.10641920539,10026.729431723697,14984.057846793356,5004.721744873495,0.0
28,672,21916.701050454678,9529.400968919439,24129.104070767193,7597.338101883466,0.0
29,696,0.0,4923.271049670149,15901.610208141985,0.0,0.0
30,720,0.0,4990.504101631278,12950.64930723011,2788.931811896151,0.0
